id	tmc_term	tmc_type	tmc_id	priority	n2000_code	insider_category	insider_subcategory	rcs_common_name	rcs_scheme_name	rcs_id	created_at	updated_at	rcs_taxonomy_path
1	3D Animation & Rendering	Industry	200001	0	SWIT	NULL	NULL	Software / IT Services	Business Sectors (RBSS)	B:172	NULL	2010-04-24 15:44:54	B:172\\Software &amp; IT Services (TRBC)\\B:161\\Technology (TRBC)
2	401(K) Management	Industry	200002	0	INVS	NULL	NULL	Investment Services	Business Sectors (RBSS)	B:130	NULL	2010-04-24 15:44:54	B:130\\Investment Banking &amp; Investment Services (TRBC)\\B:125\\Financials (TRBC)
3	Accounting	Industry	200003	0	CMSS	NULL	NULL	Commercial Services / Supplies	Business Sectors (RBSS)	B:49	NULL	2010-04-24 15:44:54	B:49\\Commercial Services &amp; Supplies (TRBC)\\B:43\\Industrial Services (TRBC)
4	Accounting Regulatory Announcement	EventType	200004	0	REGS	NULL	NULL	Regulations / Standards	Event Types	E:D	NULL	2010-04-24 15:44:54	E:D\\Regulation
5	Accounting, Consulting & Legal Services	Industry	200005	0	CMSS	NULL	NULL	Commercial Services / Supplies	Business Sectors (RBSS)	B:49	NULL	2010-04-24 15:44:54	B:49\\Commercial Services &amp; Supplies (TRBC)\\B:43\\Industrial Services (TRBC)
6	Adhesives, Abrasives & Coatings	Industry	200006	0	BMAT	NULL	NULL	Basic Materials	Business Sectors (RBSS)	B:12	NULL	2010-04-24 15:44:54	B:12\\Basic Materials (TRBC)
7	Digital Technologies - Advanced	Industry	200007	0	TECH	NULL	NULL	Technology	Business Sectors (RBSS)	B:161	NULL	2010-04-24 15:44:54	B:161\\Technology (TRBC)
8	I.T. - Advanced	Industry	200008	0	TECH	NULL	NULL	Technology	Business Sectors (RBSS)	B:161	NULL	2010-04-24 15:44:54	B:161\\Technology (TRBC)
9	Intelligent Networks - Advanced	Industry	200009	0	TECH	NULL	NULL	Technology	Business Sectors (RBSS)	B:161	NULL	2010-04-24 15:44:54	B:161\\Technology (TRBC)
10	Networking Technology - Advanced	Industry	200010	0	TECH	NULL	NULL	Technology	Business Sectors (RBSS)	B:161	NULL	2010-04-24 15:44:54	B:161\\Technology (TRBC)
11	Telecommunications Technology - Advanced	Industry	200011	0	TCOM	NULL	NULL	Telecommunications Services	Business Sectors (RBSS)	B:177	NULL	2010-04-24 15:44:54	B:177\\Telecommunications Services (TRBC)
12	Advertising	Industry	200012	0	ADVT	NULL	NULL	Advertising / Marketing	Business Sectors (RBSS)	B:93	NULL	2010-04-24 15:44:54	B:93\\Advertising &amp; Marketing (TRBC)\\B:92\\Media &amp; Publishing (TRBC)\\B:86\\Cyclical Consumer Services (TRBC)
13	Advertising, Marketing  & Public Relations	Industry	200013	1	ADVT	NULL	NULL	Advertising / Marketing	Business Sectors (RBSS)	B:93	NULL	2010-04-24 15:44:54	B:93\\Advertising &amp; Marketing (TRBC)\\B:92\\Media &amp; Publishing (TRBC)\\B:86\\Cyclical Consumer Services (TRBC)
14	Advertising Agencies	Industry	200014	0	ADVT	NULL	NULL	Advertising / Marketing	Business Sectors (RBSS)	B:93	NULL	2010-04-24 15:44:54	B:93\\Advertising &amp; Marketing (TRBC)\\B:92\\Media &amp; Publishing (TRBC)\\B:86\\Cyclical Consumer Services (TRBC)
15	Aerospace	Industry	200015	0	AERO	NULL	NULL	Aerospace / Defense	Business Sectors (RBSS)	B:37	NULL	2010-04-24 15:44:54	B:37\\Aerospace &amp; Defense (TRBC)\\B:35\\Industrial Goods (TRBC)
16	Aerospace & Defense	Industry	200016	1	AERO	NULL	NULL	Aerospace / Defense	Business Sectors (RBSS)	B:37	NULL	2010-04-24 15:44:54	B:37\\Aerospace &amp; Defense (TRBC)\\B:35\\Industrial Goods (TRBC)
17	Aerospace & Defense Electronics	Industry	200017	0	AERO	NULL	NULL	Aerospace / Defense	Business Sectors (RBSS)	B:37	NULL	2010-04-24 15:44:54	B:37\\Aerospace &amp; Defense (TRBC)\\B:35\\Industrial Goods (TRBC)
18	Aerospace Technology	Industry	200018	0	AERO	NULL	NULL	Aerospace / Defense	Business Sectors (RBSS)	B:37	NULL	2010-04-24 15:44:54	B:37\\Aerospace &amp; Defense (TRBC)\\B:35\\Industrial Goods (TRBC)
19	After-Shave	Industry	200019	0	PPRO	NULL	NULL	Personal Products	Business Sectors (RBSS)	B:119	NULL	2010-04-24 15:44:54	B:119\\Personal Products (TRBC)\\B:117\\Personal &amp; Household Products &amp; Services (TRBC)
20	Afghanistan	Geography	100002	1	AF	NULL	NULL	Afghanistan	Geopolitical Unit	G:7R	NULL	2010-04-24 15:44:54	M:DH\\Continent / Region\\G:K\\Asia / Pacific\\G:S\\Asia\\G:W\\South Asia\\G:7R\\Afghanistan|M:DQ\\Country Grouping\\G:BB\\OIC\\G:7R\\Afghanistan|M:DQ\\Country Grouping\\G:BC\\Silk Road\\G:7R\\Afghanistan|M:A9\\Country\\G:7R\\Afghanistan
21	Africa	Geography	100003	1	AFR	NULL	NULL	Africa	Geopolitical Unit	G:V	NULL	2010-04-24 15:44:54	M:DH\\Continent / Region\\G:V\\Africa
22	Aggregates, Concrete & Cement	Industry	200020	0	COMA	NULL	NULL	Construction Materials	Business Sectors (RBSS)	B:26	NULL	2010-04-24 15:44:54	B:26\\Construction Materials (TRBC)\\B:12\\Basic Materials (TRBC)
23	Agricultural Biotechnology	Industry	200021	0	TECH	NULL	NULL	Technology	Business Sectors (RBSS)	B:161	NULL	2010-04-24 15:44:54	B:161\\Technology (TRBC)
24	Agriculture (Farming)	Industry	200022	1	FARM	NULL	NULL	Fishing / Farming	Business Sectors (RBSS)	B:113	NULL	2010-04-24 15:44:54	B:113\\Fishing &amp; Farming (TRBC)\\B:112\\Food &amp; Tobacco (TRBC)\\B:107\\Food &amp; Beverages (TRBC)
25	Agriculture Machinery & Technology	Industry	200023	0	TECH	NULL	NULL	Technology	Business Sectors (RBSS)	B:161	NULL	2010-04-24 15:44:54	B:161\\Technology (TRBC)
26	Agriculture, Food & Beverage	Industry	200024	0	FOBE	NULL	NULL	Food / Beverages	Business Sectors (RBSS)	B:107	NULL	2010-04-24 15:44:54	B:107\\Food &amp; Beverages (TRBC)
27	Agriculture, Food & Beverage Regulatory	EventType	200025	1	REGS	NULL	NULL	Regulations / Standards	Event Types	E:D	NULL	2010-04-24 15:44:54	E:D\\Regulation
28	Agrochemicals	Industry	200026	1	AGRC	NULL	NULL	Chemicals - Agricultural	Business Sectors (RBSS)	B:16	NULL	2010-04-24 15:44:54	B:16\\Agricultural Chemicals (TRBC)\\B:14\\Chemicals (TRBC)\\B:12\\Basic Materials (TRBC)
29	Drugs - Aids	Industry	200027	0	PHAD	NULL	NULL	Pharmaceuticals - Diversified	Business Sectors (RBSS)	B:158	NULL	2010-04-24 15:44:54	B:158\\Diversified Pharmaceuticals (TRBC)\\B:157\\Pharmaceuticals (TRBC)\\B:148\\Healthcare (TRBC)
30	Air Conditioning	Industry	200028	0	PEPS	NULL	NULL	Personal / Household Products / Services	Business Sectors (RBSS)	B:117	NULL	2010-04-24 15:44:54	B:117\\Personal &amp; Household Products &amp; Services (TRBC)
31	Air Freight	Industry	200029	1	AIRF	NULL	NULL	Air Freight / Courier Services	Business Sectors (RBSS)	B:58	NULL	2010-04-24 15:44:54	B:58\\Air Freight &amp; Courier Services (TRBC)\\B:56\\Transportation (TRBC)
32	Air Fresheners	Industry	200030	0	HPRO	NULL	NULL	Household Products	Business Sectors (RBSS)	B:118	NULL	2010-04-24 15:44:54	B:118\\Household Products (TRBC)\\B:117\\Personal &amp; Household Products &amp; Services (TRBC)
33	Air Traffic Control	Industry	200031	0	AIRP	NULL	NULL	Airport Services	Business Sectors (RBSS)	B:61	NULL	2010-04-24 15:44:54	B:61\\Airport Services (TRBC)\\B:59\\Airline Services (TRBC)\\B:56\\Transportation (TRBC)
34	Air Transportation	Industry	200032	1	AIRS	NULL	NULL	Airline Services	Business Sectors (RBSS)	B:59	NULL	2010-04-24 15:44:54	B:59\\Airline Services (TRBC)\\B:56\\Transportation (TRBC)
35	Airlines	Industry	200033	1	AIRL	NULL	NULL	Airlines	Business Sectors (RBSS)	B:60	NULL	2010-04-24 15:44:54	B:60\\Airlines (TRBC)\\B:59\\Airline Services (TRBC)\\B:56\\Transportation (TRBC)
36	Airports	Industry	200034	1	AIRP	NULL	NULL	Airport Services	Business Sectors (RBSS)	B:61	NULL	2010-04-24 15:44:54	B:61\\Airport Services (TRBC)\\B:59\\Airline Services (TRBC)\\B:56\\Transportation (TRBC)
37	Alcoholic Beverages	Industry	200035	0	BEER	NULL	NULL	Beverages - Brewers	Business Sectors (RBSS)	B:109	NULL	2010-04-24 15:44:54	B:109\\Brewers (TRBC)\\B:108\\Beverages (TRBC)\\B:107\\Food &amp; Beverages (TRBC)
38	Alcoholic Beverages	Industry	200035	0	LIQS	NULL	NULL	Beverages - Distillers / Wineries	Business Sectors (RBSS)	B:110	NULL	2010-04-24 15:44:54	B:110\\Distillers &amp; Wineries (TRBC)\\B:108\\Beverages (TRBC)\\B:107\\Food &amp; Beverages (TRBC)
39	Alcohols	Industry	200036	0	BMAT	NULL	NULL	Basic Materials	Business Sectors (RBSS)	B:12	NULL	2010-04-24 15:44:54	B:12\\Basic Materials (TRBC)
40	Allergy	Subject	200037	0	HEA	NULL	NULL	Health / Medicine	Miscellaneous	M:P	NULL	2010-04-24 15:44:54	M:P\\Health / Medicine
41	Immunology	Industry	200038	0	HLTH	NULL	NULL	Healthcare Services	Business Sectors (RBSS)	B:149	NULL	2010-04-24 15:44:54	B:149\\Healthcare Services (TRBC)\\B:148\\Healthcare (TRBC)
42	Albania	Geography	100008	1	AL	NULL	NULL	Albania	Geopolitical Unit	G:7G	NULL	2010-04-24 15:44:54	M:DH\\Continent / Region\\G:A\\Europe\\G:Y\\South-Eastern Europe\\G:7G\\Albania|M:DQ\\Country Grouping\\G:2EN\\Emerging Europe\\G:7G\\Albania|M:DQ\\Country Grouping\\G:1\\Emerging Markets\\G:7G\\Albania|M:DQ\\Country Grouping\\G:BB\\OIC\\G:7G\\Albania|M:A9\\Country\\G:7G\\Albania
43	Drugs - Allergy	Industry	200039	0	PHAD	NULL	NULL	Pharmaceuticals - Diversified	Business Sectors (RBSS)	B:158	NULL	2010-04-24 15:44:54	B:158\\Diversified Pharmaceuticals (TRBC)\\B:157\\Pharmaceuticals (TRBC)\\B:148\\Healthcare (TRBC)
44	Insurance - Alternative Products & Markets	Industry	200040	0	INSR	NULL	NULL	Insurance	Business Sectors (RBSS)	B:136	NULL	2010-04-24 15:44:54	B:136\\Insurance (TRBC)\\B:125\\Financials (TRBC)
45	Alternative Technologies	Industry	200041	0	TECH	NULL	NULL	Technology	Business Sectors (RBSS)	B:161	NULL	2010-04-24 15:44:54	B:161\\Technology (TRBC)
46	Aluminum	Industry	200042	0	ALUM	NULL	NULL	Mineral Resources	Business Sectors (RBSS)	B:23	NULL	2010-04-24 15:44:54	B:23\\Aluminum (TRBC)\\B:20\\Metals &amp; Mining (TRBC)\\B:12\\Basic Materials (TRBC)
47	Algeria	Geography	100009	1	DZ	NULL	NULL	Algeria	Geopolitical Unit	G:7S	NULL	2010-04-24 15:44:54	M:DH\\Continent / Region\\G:V\\Africa\\G:D\\North Africa\\G:7S\\Algeria|M:DQ\\Country Grouping\\G:1\\Emerging Markets\\G:7S\\Algeria|M:DQ\\Country Grouping\\G:BA\\MENASA\\G:7S\\Algeria|M:DQ\\Country Grouping\\G:BB\\OIC\\G:7S\\Algeria|M:DQ\\Country Grouping\\G:AT\\OPEC\\G:7S\\Algeria|M:A9\\Country\\G:7S\\Algeria
48	Diseases - Alzheimer'S & Dementia	Subject	200043	0	HEA	NULL	NULL	Health / Medicine	Miscellaneous	M:P	NULL	2010-04-24 15:44:54	M:P\\Health / Medicine
49	Ambulatory Care	Industry	200044	0	HLTH	NULL	NULL	Healthcare Services	Business Sectors (RBSS)	B:149	NULL	2010-04-24 15:44:54	B:149\\Healthcare Services (TRBC)\\B:148\\Healthcare (TRBC)
50	Ambulatory Healthcare Practices & Management	Industry	200045	0	HLTH	NULL	NULL	Healthcare Services	Business Sectors (RBSS)	B:149	NULL	2010-04-24 15:44:54	B:149\\Healthcare Services (TRBC)\\B:148\\Healthcare (TRBC)
51	Amplifiers	Industry	200046	0	TEEQ	NULL	NULL	Technology Equipment	Business Sectors (RBSS)	B:162	NULL	2010-04-24 15:44:54	B:162\\Technology Equipment (TRBC)\\B:161\\Technology (TRBC)
52	Analgesics	Industry	200047	0	MEDQ	NULL	NULL	Medical Equipment / Supplies / Distribution	Business Sectors (RBSS)	B:152	NULL	2010-04-24 15:44:54	B:152\\Medical Equipment, Supplies &amp; Distribution (TRBC)\\B:150\\Healthcare Equipment &amp; Supplies (TRBC)\\B:148\\Healthcare (TRBC)
53	Analytical Instruments	Industry	200048	0	MACH	NULL	NULL	Machinery / Equipment / Components	Business Sectors (RBSS)	B:38	NULL	2010-04-24 15:44:54	B:38\\Machinery, Equipment &amp; Components (TRBC)\\B:35\\Industrial Goods (TRBC)
54	Anesthesiology	Industry	200049	0	HLTH	NULL	NULL	Healthcare Services	Business Sectors (RBSS)	B:149	NULL	2010-04-24 15:44:55	B:149\\Healthcare Services (TRBC)\\B:148\\Healthcare (TRBC)
55	Animal Feed	Industry	200050	0	FARM	NULL	NULL	Fishing / Farming	Business Sectors (RBSS)	B:113	NULL	2010-04-24 15:44:55	B:113\\Fishing &amp; Farming (TRBC)\\B:112\\Food &amp; Tobacco (TRBC)\\B:107\\Food &amp; Beverages (TRBC)
56	Annuities	Industry	200051	1	FINS	NULL	NULL	Financials	Business Sectors (RBSS)	B:125	NULL	2010-04-24 15:44:55	B:125\\Financials (TRBC)
57	Americas	Geography	RI0008	1	AMERI	NULL	NULL	Americas	Alias		NULL	2010-04-24 15:44:55	NULL
58	Antacids	Industry	200052	0	MEDQ	NULL	NULL	Medical Equipment / Supplies / Distribution	Business Sectors (RBSS)	B:152	NULL	2010-04-24 15:44:55	B:152\\Medical Equipment, Supplies &amp; Distribution (TRBC)\\B:150\\Healthcare Equipment &amp; Supplies (TRBC)\\B:148\\Healthcare (TRBC)
59	Antennas, Towers & Transmitters	Industry	200053	0	COMS	NULL	NULL	Communications Equipment	Business Sectors (RBSS)	B:167	NULL	2010-04-24 15:44:55	B:167\\Communications Equipment (TRBC)\\B:161\\Technology (TRBC)
60	Anthrax	Industry	200054	0	HEA	NULL	NULL	Health / Medicine	Miscellaneous	M:P	NULL	2010-04-24 15:44:55	M:P\\Health / Medicine
61	Antibiotics	Industry	200055	0	MEDQ	NULL	NULL	Medical Equipment / Supplies / Distribution	Business Sectors (RBSS)	B:152	NULL	2010-04-24 15:44:55	B:152\\Medical Equipment, Supplies &amp; Distribution (TRBC)\\B:150\\Healthcare Equipment &amp; Supplies (TRBC)\\B:148\\Healthcare (TRBC)
62	Anticoagulants	Industry	200056	0	MEDQ	NULL	NULL	Medical Equipment / Supplies / Distribution	Business Sectors (RBSS)	B:152	NULL	2010-04-24 15:44:55	B:152\\Medical Equipment, Supplies &amp; Distribution (TRBC)\\B:150\\Healthcare Equipment &amp; Supplies (TRBC)\\B:148\\Healthcare (TRBC)
63	Antiseptics	Industry	200057	0	MEDQ	NULL	NULL	Medical Equipment / Supplies / Distribution	Business Sectors (RBSS)	B:152	NULL	2010-04-24 15:44:55	B:152\\Medical Equipment, Supplies &amp; Distribution (TRBC)\\B:150\\Healthcare Equipment &amp; Supplies (TRBC)\\B:148\\Healthcare (TRBC)
64	Apparel	Industry	200058	1	WEAR	NULL	NULL	Apparel / Accessories	Business Sectors (RBSS)	B:84	NULL	2010-04-24 15:44:55	B:84\\Apparel &amp; Accessories (TRBC)\\B:82\\Textiles &amp; Apparel (TRBC)\\B:75\\Cyclical Consumer Products (TRBC)
65	Apparel & Textiles	Industry	200059	1	APPA	NULL	NULL	Textiles / Apparel	Business Sectors (RBSS)	B:82	NULL	2010-04-24 15:44:55	B:82\\Textiles &amp; Apparel (TRBC)\\B:75\\Cyclical Consumer Products (TRBC)
66	Application Performance Management	Industry	200060	0	SWIT	NULL	NULL	Software / IT Services	Business Sectors (RBSS)	B:172	NULL	2010-04-24 15:44:55	B:172\\Software &amp; IT Services (TRBC)\\B:161\\Technology (TRBC)
67	Application Service Providers	Industry	200061	0	SWIT	NULL	NULL	Software / IT Services	Business Sectors (RBSS)	B:172	NULL	2010-04-24 15:44:55	B:172\\Software &amp; IT Services (TRBC)\\B:161\\Technology (TRBC)
68	Software - Application Software	Industry	200062	0	SOFW	NULL	NULL	Software	Business Sectors (RBSS)	B:174	NULL	2010-04-24 15:44:55	B:174\\Software (TRBC)\\B:161\\Technology (TRBC)
69	Software Development - Application Software Development	Industry	200063	0	SWIT	NULL	NULL	Software / IT Services	Business Sectors (RBSS)	B:172	NULL	2010-04-24 15:44:55	B:172\\Software &amp; IT Services (TRBC)\\B:161\\Technology (TRBC)
70	Application-Specific Integrated Circuits	Industry	200064	0	CHIP	NULL	NULL	Semiconductors	Business Sectors (RBSS)	B:164	NULL	2010-04-24 15:44:55	B:164\\Semiconductors (TRBC)\\B:163\\Semiconductors &amp; Semiconductor Equipment (TRBC)\\B:161\\Technology (TRBC)
71	Angola	Geography	100013	1	AO	NULL	NULL	Angola	Geopolitical Unit	G:82	NULL	2010-04-24 15:44:55	M:DH\\Continent / Region\\G:V\\Africa\\G:L\\Central Africa\\G:82\\Angola|M:DQ\\Country Grouping\\G:1\\Emerging Markets\\G:82\\Angola|M:DQ\\Country Grouping\\G:AT\\OPEC\\G:82\\Angola|M:A9\\Country\\G:82\\Angola
72	Anguilla	Geography	100014	1	AI	NULL	NULL	Anguilla	Geopolitical Unit	G:1H	NULL	2010-04-24 15:44:55	M:DH\\Continent / Region\\G:4\\Americas\\G:G\\South / Central America\\G:R\\Caribbean\\G:1H\\Anguilla|M:A9\\Country\\G:1H\\Anguilla
73	Architecture	Industry	200065	0	ENGN	NULL	NULL	Engineering / Construction	Business Sectors (RBSS)		NULL	2010-04-24 15:44:55	NULL
74	Architecture	Industry	200065	1	COEN	NULL	NULL	Construction / Engineering / Materials	Business Sectors (RBSS)	B:46	NULL	2010-04-24 15:44:55	B:46\\Construction &amp; Engineering (TRBC)\\B:43\\Industrial Services (TRBC)
75	Arteriosclerosis & Atherosclerosis	Subject	200066	0	HEA	NULL	NULL	Health / Medicine	Miscellaneous	M:P	NULL	2010-04-24 15:44:55	M:P\\Health / Medicine
76	Arthritis	Subject	200067	0	HEA	NULL	NULL	Health / Medicine	Miscellaneous	M:P	NULL	2010-04-24 15:44:55	M:P\\Health / Medicine
77	Artificial Intelligence	Industry	200068	0	SWIT	NULL	NULL	Software / IT Services	Business Sectors (RBSS)	B:172	NULL	2010-04-24 15:44:55	B:172\\Software &amp; IT Services (TRBC)\\B:161\\Technology (TRBC)
78	Arts & Crafts	Industry	200070	0	RELX	NULL	NULL	Leisure / Recreation	Business Sectors (RBSS)	B:91	NULL	2010-04-24 15:44:55	B:91\\Leisure &amp; Recreation (TRBC)\\B:87\\Hotels &amp; Entertainment Services (TRBC)\\B:86\\Cyclical Consumer Services (TRBC)
79	Asset-Based Lending	Industry	200071	1	BSVC	NULL	NULL	Banking Services	Business Sectors (RBSS)	B:127	NULL	2010-04-24 15:44:55	B:127\\Banking Services (TRBC)\\B:125\\Financials (TRBC)
80	Asthma	Subject	200072	0	HEA	NULL	NULL	Health / Medicine	Miscellaneous	M:P	NULL	2010-04-24 15:44:55	M:P\\Health / Medicine
81	ATM Connectivity	Industry	200073	0	TECH	NULL	NULL	Technology	Business Sectors (RBSS)	B:161	NULL	2010-04-24 15:44:55	B:161\\Technology (TRBC)
82	Antigua & Barbuda	Geography	100016	1	AG	NULL	NULL	Antigua and Barbuda	Geopolitical Unit	G:31	NULL	2010-04-24 15:44:55	M:DH\\Continent / Region\\G:4\\Americas\\G:G\\South / Central America\\G:R\\Caribbean\\G:31\\Antigua and Barbuda|M:A9\\Country\\G:31\\Antigua and Barbuda
83	ATM Hardware	Industry	200074	0	TEEQ	NULL	NULL	Technology Equipment	Business Sectors (RBSS)	B:162	NULL	2010-04-24 15:44:55	B:162\\Technology Equipment (TRBC)\\B:161\\Technology (TRBC)
84	ATMs & Networks	Industry	200075	0	TEEQ	NULL	NULL	Technology Equipment	Business Sectors (RBSS)	B:162	NULL	2010-04-24 15:44:55	B:162\\Technology Equipment (TRBC)\\B:161\\Technology (TRBC)
85	Audio Cassettes	Industry	200076	0	SHOW	NULL	NULL	Entertainment Production	Business Sectors (RBSS)	B:95	NULL	2010-04-24 15:44:55	B:95\\Entertainment Production (TRBC)\\B:92\\Media &amp; Publishing (TRBC)\\B:86\\Cyclical Consumer Services (TRBC)
86	Audio Technology	Industry	200078	0	TECH	NULL	NULL	Technology	Business Sectors (RBSS)	B:161	NULL	2010-04-24 15:44:55	B:161\\Technology (TRBC)
87	Audiology	Industry	200079	0	TECH	NULL	NULL	Technology	Business Sectors (RBSS)	B:161	NULL	2010-04-24 15:44:55	B:161\\Technology (TRBC)
88	Auto Racing	Industry	200080	1	RELX	NULL	NULL	Leisure / Recreation	Business Sectors (RBSS)	B:91	NULL	2010-04-24 15:44:55	B:91\\Leisure &amp; Recreation (TRBC)\\B:87\\Hotels &amp; Entertainment Services (TRBC)\\B:86\\Cyclical Consumer Services (TRBC)
89	Automatic Test Equipment	Industry	200081	0	TEEQ	NULL	NULL	Technology Equipment	Business Sectors (RBSS)	B:162	NULL	2010-04-24 15:44:55	B:162\\Technology Equipment (TRBC)\\B:161\\Technology (TRBC)
90	Automobile Assistance Services	Industry	200082	0	PEPS	NULL	NULL	Personal / Household Products / Services	Business Sectors (RBSS)	B:117	NULL	2010-04-24 15:44:55	B:117\\Personal &amp; Household Products &amp; Services (TRBC)
91	Insurance - Automobile	Industry	200083	0	PINS	NULL	NULL	Insurance - Property / Casualty	Business Sectors (RBSS)	B:138	NULL	2010-04-24 15:44:55	B:138\\Property &amp; Casualty Insurance (TRBC)\\B:136\\Insurance (TRBC)\\B:125\\Financials (TRBC)
92	Automobile Sound Systems	Industry	200084	0	PART	NULL	NULL	Auto / Truck / Motorcycle Parts	Business Sectors (RBSS)	B:73	NULL	2010-04-24 15:44:55	B:73\\Auto, Truck &amp; Motorcycle Parts (TRBC)\\B:71\\Automobiles &amp; Auto Parts (TRBC)
93	Automobiles	Industry	200085	0	CARM	NULL	NULL	Auto / Truck Manufacturers	Business Sectors (RBSS)	B:72	NULL	2010-04-24 15:44:55	B:72\\Auto &amp; Truck Manufacturers (TRBC)\\B:71\\Automobiles &amp; Auto Parts (TRBC)
94	Automobiles	Industry	200085	0	AUTO	NULL	NULL	Automobiles / Auto Parts	Business Sectors (RBSS)	B:71	NULL	2010-04-24 15:44:55	B:71\\Automobiles &amp; Auto Parts (TRBC)
95	Automotive	Industry	200086	0	CARM	NULL	NULL	Auto / Truck Manufacturers	Business Sectors (RBSS)	B:72	NULL	2010-04-24 15:44:55	B:72\\Auto &amp; Truck Manufacturers (TRBC)\\B:71\\Automobiles &amp; Auto Parts (TRBC)
96	Argentina	Geography	100017	1	AR	NULL	NULL	Argentina	Geopolitical Unit	G:60	NULL	2010-04-24 15:44:55	M:DH\\Continent / Region\\G:4\\Americas\\G:G\\South / Central America\\G:P\\South America\\G:60\\Argentina|M:DQ\\Country Grouping\\G:1\\Emerging Markets\\G:60\\Argentina|M:DQ\\Country Grouping\\G:B9\\G20\\G:60\\Argentina|M:A9\\Country\\G:60\\Argentina
97	Automotive Aftermarket	Industry	200087	0	PART	NULL	NULL	Auto / Truck / Motorcycle Parts	Business Sectors (RBSS)	B:73	NULL	2010-04-24 15:44:55	B:73\\Auto, Truck &amp; Motorcycle Parts (TRBC)\\B:71\\Automobiles &amp; Auto Parts (TRBC)
98	Armenia	Geography	100020	1	AM	NULL	NULL	Armenia	Geopolitical Unit	G:7I	NULL	2010-04-24 15:44:55	M:DH\\Continent / Region\\G:K\\Asia / Pacific\\G:S\\Asia\\G:H\\Southwest Asia\\G:7I\\Armenia|M:DQ\\Country Grouping\\G:AJ\\CIS\\G:7I\\Armenia|M:DQ\\Country Grouping\\G:B7\\Former Soviet Union\\G:7I\\Armenia|M:A9\\Country\\G:7I\\Armenia
99	Automotive Alternative Fuels	Industry	200088	0	OILG	NULL	NULL	Oil / Gas	Business Sectors (RBSS)	B:5	NULL	2010-04-24 15:44:55	B:5\\Oil &amp; Gas (TRBC)\\B:2\\Energy (TRBC)
100	Automotive Electronics	Industry	200089	0	AUTO	NULL	NULL	Automobiles / Auto Parts	Business Sectors (RBSS)	B:71	NULL	2010-04-24 15:44:55	B:71\\Automobiles &amp; Auto Parts (TRBC)
101	Automotive Factory Automation Systems	Industry	200090	0	CARM	NULL	NULL	Auto / Truck Manufacturers	Business Sectors (RBSS)	B:72	NULL	2010-04-24 15:44:55	B:72\\Auto &amp; Truck Manufacturers (TRBC)\\B:71\\Automobiles &amp; Auto Parts (TRBC)
102	Automotive Fuels	Industry	200091	0	OILG	NULL	NULL	Oil / Gas	Business Sectors (RBSS)	B:5	NULL	2010-04-24 15:44:55	B:5\\Oil &amp; Gas (TRBC)\\B:2\\Energy (TRBC)
103	Auto Parts	Industry	200092	1	PART	NULL	NULL	Auto / Truck / Motorcycle Parts	Business Sectors (RBSS)	B:73	NULL	2010-04-24 15:44:55	B:73\\Auto, Truck &amp; Motorcycle Parts (TRBC)\\B:71\\Automobiles &amp; Auto Parts (TRBC)
104	Auto Parts Retail	Industry	200093	0	PART	NULL	NULL	Auto / Truck / Motorcycle Parts	Business Sectors (RBSS)	B:73	NULL	2010-04-24 15:44:55	B:73\\Auto, Truck &amp; Motorcycle Parts (TRBC)\\B:71\\Automobiles &amp; Auto Parts (TRBC)
105	Aruba	Geography	100021	1	AW	NULL	NULL	Aruba	Geopolitical Unit	G:AD	NULL	2010-04-24 15:44:55	M:DH\\Continent / Region\\G:4\\Americas\\G:G\\South / Central America\\G:R\\Caribbean\\G:AD\\Aruba|M:A9\\Country\\G:AD\\Aruba
106	Asia Pacific	Geography	103395	1	ASIA	NULL	NULL	Asia / Pacific	Geopolitical Unit	G:K	NULL	2010-04-24 15:44:55	M:DH\\Continent / Region\\G:K\\Asia / Pacific
107	Automotive Rental	Industry	200094	1	AUTO	NULL	NULL	Automobiles / Auto Parts	Business Sectors (RBSS)	B:71	NULL	2010-04-24 15:44:55	B:71\\Automobiles &amp; Auto Parts (TRBC)
108	Automotive Repair	Industry	200095	0	AUTO	NULL	NULL	Automobiles / Auto Parts	Business Sectors (RBSS)	B:71	NULL	2010-04-24 15:44:55	B:71\\Automobiles &amp; Auto Parts (TRBC)
109	Automotive Retail	Industry	200096	0	AUTO	NULL	NULL	Automobiles / Auto Parts	Business Sectors (RBSS)	B:71	NULL	2010-04-24 15:44:55	B:71\\Automobiles &amp; Auto Parts (TRBC)
110	Automotive Retail & Distribution	Industry	200097	0	AUTO	NULL	NULL	Automobiles / Auto Parts	Business Sectors (RBSS)	B:71	NULL	2010-04-24 15:44:55	B:71\\Automobiles &amp; Auto Parts (TRBC)
111	Automotive Safety	Industry	200098	1	AUTO	NULL	NULL	Automobiles / Auto Parts	Business Sectors (RBSS)	B:71	NULL	2010-04-24 15:44:55	B:71\\Automobiles &amp; Auto Parts (TRBC)
112	Automotive Technology	Industry	200099	0	AUTO	NULL	NULL	Automobiles / Auto Parts	Business Sectors (RBSS)	B:71	NULL	2010-04-24 15:44:56	B:71\\Automobiles &amp; Auto Parts (TRBC)
113	Automotive Trade	Industry	200100	0	AUTO	NULL	NULL	Automobiles / Auto Parts	Business Sectors (RBSS)	B:71	NULL	2010-04-24 15:44:56	B:71\\Automobiles &amp; Auto Parts (TRBC)
